greedy_ans,strict_ans,greedy_value,greedy_value2,strict_value,strict_value2,kinjiritu,random_seed
1-18-21,1-6-8,26.32000,26.32000,26.32000,23.90000,1.10126,0.00000
1-18-21,1-6-8,26.76000,26.76000,26.76000,23.90000,1.11967,1.00000
1-18-21,1-6-8,26.46000,26.46000,26.46000,24.36000,1.08621,2.00000
1-48-21,1-8-14,26.83000,26.83000,26.83000,23.56000,1.13879,3.00000
1-48-18,1-6-14,26.32000,26.32000,26.32000,24.92000,1.05618,4.00000
1-48-18,1-6-14,26.90000,26.90000,26.90000,24.81000,1.08424,5.00000
1-48-18,1-6-8,26.47000,26.47000,26.57000,24.30000,1.08930,6.00000
1-48-18,1-6-14,26.34000,26.34000,26.34000,24.21000,1.08798,7.00000
1-18-48,1-6-14,26.76000,26.76000,26.76000,24.65000,1.08560,8.00000
1-18-21,1-6-8,26.83000,26.83000,26.83000,24.54000,1.09332,9.00000
0-8-48,0-4-14,37.08000,37.08000,37.08000,34.66000,1.06982,0.00000
0-48-8,0-4-14,37.74000,37.74000,37.74000,34.99000,1.07859,1.00000
0-21-28,0-4-14,37.55000,37.55000,37.64000,35.57000,1.05566,2.00000
0-48-8,0-4-14,37.66000,37.66000,37.66000,34.69000,1.08562,3.00000
0-8-48,0-4-14,37.95000,37.95000,37.95000,34.90000,1.08739,4.00000
0-48-21,0-8-14,37.86000,37.86000,37.86000,36.41000,1.03982,5.00000
0-21-8,0-4-8,38.22000,38.22000,38.22000,36.08000,1.05931,6.00000
0-8-48,0-4-14,37.51000,37.51000,37.51000,34.81000,1.07756,7.00000
0-21-8,0-4-8,37.81000,37.81000,37.81000,36.03000,1.04940,8.00000
0-8-48,0-8-14,37.55000,37.55000,37.65000,36.83000,1.01955,9.00000
1-0-48,0-1-14,70.50000,70.50000,70.50000,68.67000,1.02665,0.00000
1-0-61,0-1-16,71.94000,71.94000,71.94000,70.21000,1.02464,1.00000
1-0-48,0-1-14,71.24000,71.24000,71.24000,70.13000,1.01583,2.00000
1-0-48,0-1-14,71.44000,71.44000,71.44000,69.55000,1.02717,3.00000
1-0-48,0-1-14,71.83000,71.83000,71.83000,69.81000,1.02894,4.00000
1-0-48,0-1-14,71.90000,71.90000,71.90000,69.91000,1.02847,5.00000
1-0-48,0-1-14,71.65000,71.65000,71.65000,69.86000,1.02562,6.00000
1-0-48,0-1-14,71.13000,71.13000,71.13000,69.30000,1.02641,7.00000
1-0-48,1-4-14,71.80000,71.80000,71.86000,65.01000,1.10445,8.00000
1-0-48,0-1-14,71.97000,71.97000,71.97000,69.72000,1.03227,9.00000
0-1-48,0-1-14,71.79000,71.79000,71.79000,69.82000,1.02822,0.00000
1-0-48,0-1-14,73.54000,73.54000,73.54000,71.08000,1.03461,1.00000
1-0-48,0-1-14,72.57000,72.57000,72.57000,71.35000,1.01710,2.00000
1-0-48,0-1-14,72.69000,72.69000,72.69000,70.78000,1.02699,3.00000
1-0-48,0-1-14,72.83000,72.83000,72.83000,70.93000,1.02679,4.00000
1-0-48,0-1-14,73.17000,73.17000,73.17000,71.24000,1.02709,5.00000
1-0-48,0-1-14,72.64000,72.64000,72.64000,71.24000,1.01965,6.00000
1-0-48,0-1-14,72.28000,72.28000,72.28000,70.38000,1.02700,7.00000
1-0-48,0-1-14,72.90000,72.90000,72.90000,71.32000,1.02215,8.00000
1-0-48,0-1-14,72.49000,72.49000,72.49000,70.74000,1.02474,9.00000
0-48-76,0-14-18,71.94000,71.94000,71.94000,68.54000,1.04961,0.00000
0-48-61,0-14-16,73.00000,73.00000,73.00000,68.13000,1.07148,1.00000
0-48-93,0-14-19,72.61000,72.61000,72.61000,69.19000,1.04943,2.00000
0-55-48,0-13-14,71.76000,71.76000,72.44000,68.87000,1.04196,3.00000
0-48-76,0-14-18,72.56000,72.56000,72.56000,69.45000,1.04478,4.00000
0-61-48,0-14-18,72.24000,72.24000,72.81000,69.56000,1.03853,5.00000
0-61-48,0-14-16,72.85000,72.85000,72.85000,69.46000,1.04881,6.00000
0-67-48,0-14-19,71.45000,71.45000,72.22000,68.59000,1.04170,7.00000
0-48-73,0-14-16,72.99000,72.99000,72.68000,69.33000,1.05279,8.00000
0-15-61,0-14-16,71.84000,71.84000,72.77000,68.93000,1.04222,9.00000
0-61-48,0-14-16,72.88000,72.88000,72.88000,69.87000,1.04308,0.00000
0-48-61,0-14-16,74.53000,74.53000,74.53000,70.91000,1.05105,1.00000
0-48-37,0-13-14,73.56000,73.56000,73.56000,69.48000,1.05872,2.00000
0-48-93,0-14-19,73.72000,73.72000,73.72000,69.82000,1.05586,3.00000
0-37-48,0-14-16,73.54000,73.54000,73.91000,70.40000,1.04460,4.00000
0-76-48,0-13-14,73.76000,73.76000,74.07000,70.39000,1.04788,5.00000
0-48-51,0-14-19,73.85000,73.85000,73.73000,70.56000,1.04663,6.00000
0-48-93,0-14-19,73.54000,73.54000,73.54000,69.61000,1.05646,7.00000
0-48-51,0-16-18,73.87000,73.87000,73.99000,71.21000,1.03735,8.00000
0-48-18,0-6-14,73.89000,73.89000,73.89000,70.76000,1.04423,9.00000
0-48-15,0-5-14,71.08000,71.08000,71.08000,67.92000,1.04653,0.00000
0-48-41,0-13-14,72.50000,72.50000,72.40000,69.09000,1.04936,1.00000
0-48-55,0-13-14,71.56000,71.56000,71.05000,68.61000,1.04300,2.00000
0-67-37,0-14-16,70.65000,70.65000,71.23000,68.10000,1.03744,3.00000
0-35-48,0-5-14,71.81000,71.81000,71.81000,69.14000,1.03862,4.00000
0-48-93,0-14-19,72.43000,72.43000,72.43000,67.99000,1.06530,5.00000
0-48-37,0-13-14,71.90000,71.90000,71.90000,67.78000,1.06078,6.00000
0-48-31,0-14-15,70.87000,70.87000,70.83000,69.58000,1.01854,7.00000
0-15-93,0-13-14,71.19000,71.19000,72.33000,68.79000,1.03489,8.00000
0-48-97,0-13-14,71.93000,71.93000,71.80000,68.61000,1.04839,9.00000
0-37-48,0-14-16,72.00000,72.00000,72.07000,69.45000,1.03672,0.00000
0-48-61,0-14-16,73.93000,73.93000,73.93000,70.62000,1.04687,1.00000
0-48-76,0-14-18,73.35000,73.35000,73.35000,71.32000,1.02846,2.00000
0-22-48,0-5-16,72.41000,72.41000,72.67000,70.09000,1.03310,3.00000
0-48-55,0-14-19,73.39000,73.39000,73.38000,70.48000,1.04129,4.00000
0-48-61,0-14-16,73.59000,73.59000,73.59000,70.31000,1.04665,5.00000
0-48-14,0-5-16,73.09000,73.09000,73.25000,70.45000,1.03747,6.00000
0-76-48,0-14-18,73.25000,73.25000,73.25000,69.85000,1.04868,7.00000
0-48-8,0-4-14,73.56000,73.56000,73.56000,70.67000,1.04089,8.00000
0-48-37,0-13-14,73.47000,73.47000,73.47000,69.73000,1.05364,9.00000
1-0-48,0-1-14,70.85000,70.85000,70.85000,69.21000,1.02370,0.00000
0-1-48,0-1-14,72.60000,72.60000,72.60000,70.61000,1.02818,1.00000
1-0-48,0-1-14,71.85000,71.85000,71.85000,70.25000,1.02278,2.00000
1-0-48,0-1-14,71.92000,71.92000,71.92000,69.69000,1.03200,3.00000
1-0-48,0-1-14,72.12000,72.12000,72.12000,69.93000,1.03132,4.00000
0-1-48,0-1-14,72.35000,72.35000,72.35000,70.38000,1.02799,5.00000
1-0-48,0-1-14,72.29000,72.29000,72.29000,70.12000,1.03095,6.00000
1-0-48,0-1-14,71.49000,71.49000,71.49000,70.01000,1.02114,7.00000
1-0-48,0-1-14,72.26000,72.26000,72.26000,70.29000,1.02803,8.00000
1-0-48,0-1-14,71.78000,71.78000,71.78000,70.09000,1.02411,9.00000
0-51-61,0-5-14,70.93000,70.93000,72.23000,68.70000,1.03246,0.00000
0-48-37,0-13-14,73.57000,73.57000,73.57000,70.48000,1.04384,1.00000
0-48-37,0-13-14,72.91000,72.91000,72.91000,68.64000,1.06221,2.00000
0-48-15,0-5-14,72.62000,72.62000,72.62000,69.75000,1.04115,3.00000
0-48-61,0-14-16,73.11000,73.11000,73.11000,70.74000,1.03350,4.00000
0-48-15,0-5-14,73.44000,73.44000,73.44000,69.88000,1.05094,5.00000
0-48-37,0-13-14,72.92000,72.92000,72.92000,69.92000,1.04291,6.00000
0-48-15,0-5-14,72.83000,72.83000,72.83000,69.55000,1.04716,7.00000
0-48-93,0-14-19,73.54000,73.54000,73.54000,69.93000,1.05162,8.00000
0-48-61,0-14-16,73.42000,73.42000,73.42000,70.85000,1.03627,9.00000
