greedy_ans,strict_ans,greedy_value,greedy_value2,strict_value,strict_value2,kinjiritu,random_seed
1-18-21,1-18-21,26.32000,26.32000,26.32000,26.32000,1.00000,0.00000
1-18-21,1-18-21,26.76000,26.76000,26.76000,26.76000,1.00000,1.00000
1-18-21,1-18-21,26.46000,26.46000,26.46000,26.46000,1.00000,2.00000
1-48-21,1-21-48,26.83000,26.83000,26.83000,26.83000,1.00000,3.00000
1-48-18,1-18-48,26.32000,26.32000,26.32000,26.32000,1.00000,4.00000
1-48-18,1-18-48,26.90000,26.90000,26.90000,26.90000,1.00000,5.00000
1-48-18,1-18-21,26.47000,26.47000,26.57000,26.57000,0.99624,6.00000
1-48-18,1-18-48,26.34000,26.34000,26.34000,26.34000,1.00000,7.00000
1-18-48,1-18-48,26.76000,26.76000,26.76000,26.76000,1.00000,8.00000
1-18-21,1-18-21,26.83000,26.83000,26.83000,26.83000,1.00000,9.00000
0-8-48,0-8-48,37.08000,37.08000,37.08000,37.08000,1.00000,0.00000
0-48-8,0-8-48,37.74000,37.74000,37.74000,37.74000,1.00000,1.00000
0-21-28,0-8-48,37.55000,37.55000,37.64000,37.64000,0.99761,2.00000
0-48-8,0-8-48,37.66000,37.66000,37.66000,37.66000,1.00000,3.00000
0-8-48,0-8-48,37.95000,37.95000,37.95000,37.95000,1.00000,4.00000
0-48-21,0-21-48,37.86000,37.86000,37.86000,37.86000,1.00000,5.00000
0-21-8,0-8-21,38.22000,38.22000,38.22000,38.22000,1.00000,6.00000
0-8-48,0-8-48,37.51000,37.51000,37.51000,37.51000,1.00000,7.00000
0-21-8,0-8-21,37.81000,37.81000,37.81000,37.81000,1.00000,8.00000
0-8-48,0-21-48,37.55000,37.55000,37.65000,37.65000,0.99734,9.00000
1-0-48,0-1-48,70.50000,70.50000,70.50000,70.50000,1.00000,0.00000
1-0-61,0-1-61,71.94000,71.94000,71.94000,71.94000,1.00000,1.00000
1-0-48,0-1-48,71.24000,71.24000,71.24000,71.24000,1.00000,2.00000
