K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos
20-15-6,48-0-18,3.19000,36.56000,0.00000,39.16000,1.00000,0.59000
20-15-6,48-0-18,3.18000,36.31000,0.00000,39.42000,1.00000,0.07000
20-15-6,48-0-18,3.17000,36.33000,0.00000,39.79000,0.00000,-0.29000
20-15-6,48-0-18,3.16000,36.40000,0.00000,39.12000,1.00000,0.44000
20-15-6,48-0-18,3.13000,36.43000,0.00000,39.62000,0.00000,-0.06000
20-15-6,48-0-18,3.16000,35.97000,0.00000,38.98000,1.00000,0.15000
20-15-6,48-0-18,3.22000,36.86000,0.00000,39.15000,1.00000,0.93000
20-15-6,48-0-18,3.22000,36.79000,0.00000,38.91000,1.00000,1.10000
20-15-6,48-0-18,3.16000,36.60000,0.00000,39.68000,1.00000,0.08000
20-15-6,48-0-18,3.15000,36.22000,0.00000,39.71000,0.00000,-0.34000
20-15-6,48-0-18,3.22000,36.31000,0.00000,39.21000,1.00000,0.32000
20-15-6,48-0-18,3.21000,36.68000,0.00000,39.33000,1.00000,0.56000
20-15-6,48-0-18,3.26000,36.76000,0.00000,39.31000,1.00000,0.71000
20-15-6,48-0-18,3.26000,36.90000,0.00000,39.48000,1.00000,0.68000
20-15-6,48-0-18,3.23000,36.74000,0.00000,38.89000,1.00000,1.08000
20-15-6,48-0-18,3.23000,35.86000,0.00000,39.45000,0.00000,-0.36000
20-15-6,48-0-18,3.25000,36.25000,0.00000,39.55000,0.00000,-0.05000
20-15-6,48-0-18,3.16000,35.97000,0.00000,39.20000,0.00000,-0.07000
20-15-6,48-0-18,3.19000,36.18000,0.00000,39.71000,0.00000,-0.34000
20-15-6,48-0-18,3.14000,36.32000,0.00000,39.00000,1.00000,0.46000
20-15-6,48-0-18,3.14000,36.42000,0.00000,38.61000,1.00000,0.95000
20-15-6,48-0-18,3.28000,36.38000,0.00000,39.37000,1.00000,0.29000
20-15-6,48-0-18,3.18000,36.48000,0.00000,39.11000,1.00000,0.55000
20-15-6,48-0-18,3.28000,36.99000,0.00000,39.50000,1.00000,0.77000
20-15-6,48-0-18,3.24000,35.41000,0.00000,39.57000,0.00000,-0.92000
20-15-6,48-0-18,3.15000,36.42000,0.00000,39.25000,1.00000,0.32000
20-15-6,48-0-18,3.15000,36.15000,0.00000,39.40000,0.00000,-0.10000
20-15-6,48-0-18,3.12000,36.73000,0.00000,39.72000,1.00000,0.13000
20-15-6,48-0-18,3.23000,36.43000,0.00000,39.19000,1.00000,0.47000
20-15-6,48-0-18,3.16000,36.39000,0.00000,39.34000,1.00000,0.21000
20-15-6,48-0-18,3.21000,36.81000,0.00000,39.38000,1.00000,0.64000
20-15-6,48-0-18,3.28000,36.53000,0.00000,39.58000,1.00000,0.23000
20-15-6,48-0-18,3.16000,35.96000,0.00000,39.63000,0.00000,-0.51000
20-15-6,48-0-18,3.23000,36.59000,0.00000,38.65000,1.00000,1.17000
20-15-6,48-0-18,3.20000,36.90000,0.00000,39.58000,1.00000,0.52000
