greedy_ans,strict_ans,greedy_value,greedy_value2,strict_value,strict_value2,kinjiritu,random_seed
1-15-37,1-15-37,42.89000,42.89000,42.89000,42.89000,1.00000,5.00000
1-15-48,1-15-48,42.43000,42.43000,42.43000,42.43000,1.00000,6.00000
1-15-37,0-15-37,42.33000,42.33000,42.95000,42.95000,0.98556,7.00000
0-15-37,0-15-37,42.51000,42.51000,42.51000,42.51000,1.00000,8.00000
1-37-42,0-15-37,42.16000,42.16000,42.56000,42.56000,0.99060,9.00000
0-15-48,0-15-48,42.66000,42.66000,42.66000,42.66000,1.00000,0.00000
1-15-48,1-15-48,43.34000,43.34000,43.34000,43.34000,1.00000,1.00000
0-48-15,0-15-42,43.26000,43.26000,43.27000,43.27000,0.99977,2.00000
0-15-48,1-15-48,43.15000,43.15000,43.18000,43.18000,0.99931,3.00000
0-15-48,0-15-48,43.06000,43.06000,43.06000,43.06000,1.00000,4.00000
0-15-48,1-15-48,43.36000,43.36000,43.80000,43.80000,0.98995,5.00000
0-15-48,0-15-48,43.30000,43.30000,43.30000,43.30000,1.00000,6.00000
0-15-48,0-15-48,43.42000,43.42000,43.42000,43.42000,1.00000,7.00000
0-15-48,0-15-48,43.08000,43.08000,43.08000,43.08000,1.00000,8.00000
0-15-48,0-15-48,43.49000,43.49000,43.49000,43.49000,1.00000,9.00000
0-37-15,0-15-37,42.66000,42.66000,42.66000,42.66000,1.00000,0.00000
1-15-37,1-15-37,43.34000,43.34000,43.34000,43.34000,1.00000,1.00000
0-15-37,0-15-37,43.26000,43.26000,43.26000,43.26000,1.00000,2.00000
0-15-37,1-15-37,43.15000,43.15000,43.18000,43.18000,0.99931,3.00000
1-15-37,0-15-37,42.86000,42.86000,43.06000,43.06000,0.99536,4.00000
0-15-37,1-15-37,43.36000,43.36000,43.80000,43.80000,0.98995,5.00000
1-37-42,0-15-37,42.75000,42.75000,43.30000,43.30000,0.98730,6.00000
0-15-37,0-15-37,43.42000,43.42000,43.42000,43.42000,1.00000,7.00000
0-15-37,0-15-37,43.08000,43.08000,43.08000,43.08000,1.00000,8.00000
0-15-37,0-15-37,43.49000,43.49000,43.49000,43.49000,1.00000,9.00000
