K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos
20-48-2-8,8-48-37-2,7.29400,6.94300,5.91300,8.57400,0.00000,-0.25000
20-48-2-8,8-48-37-2,7.30200,7.36300,5.99500,8.47400,1.00000,0.19600
20-48-2-8,8-48-37-2,7.53400,7.11000,6.06700,8.35600,1.00000,0.22100
20-48-2-8,8-48-37-2,7.59600,7.34600,6.03600,8.39400,1.00000,0.51200
20-48-2-8,8-48-37-2,7.57100,7.17400,5.93000,8.22400,1.00000,0.59100
20-48-2-8,8-48-37-2,7.06400,7.31000,6.11500,8.09600,1.00000,0.16300
20-48-2-8,8-48-37-2,7.25300,6.98100,5.92000,8.09500,1.00000,0.21900
20-48-2-8,8-48-37-2,7.64500,7.32200,6.16700,8.10300,1.00000,0.69700
20-48-2-8,8-48-37-2,7.52000,6.90700,6.05900,8.34600,1.00000,0.02200
20-48-2-8,8-48-37-2,7.33700,7.05800,6.13800,8.39400,0.00000,-0.13700
20-48-2-8,8-48-37-2,7.20800,6.98800,6.14900,8.18700,0.00000,-0.14000
20-48-2-8,8-48-37-2,7.35800,7.27300,6.29100,8.52900,0.00000,-0.18900
20-48-2-8,8-48-37-2,7.23700,6.97700,5.96000,8.43800,0.00000,-0.18400
20-48-2-8,8-48-37-2,7.56100,6.98200,6.32500,8.58700,0.00000,-0.36900
20-48-2-8,8-48-37-2,7.28200,7.36000,5.94000,8.19900,1.00000,0.50300
20-48-2-8,8-48-37-2,7.74300,6.96700,6.33000,8.47500,0.00000,-0.09500
20-48-2-8,8-48-37-2,7.19900,7.12300,6.25800,8.38400,0.00000,-0.32000
20-48-2-8,8-48-37-2,7.49300,6.84700,6.17400,8.46600,0.00000,-0.30000
20-48-2-8,8-48-37-2,7.33200,7.14700,5.93000,8.13200,1.00000,0.41700
20-48-2-8,8-48-37-2,7.61700,7.24100,5.81500,8.61700,1.00000,0.42600
20-48-2-8,8-48-37-2,7.20500,6.90300,6.03400,8.36300,0.00000,-0.28900
20-48-2-8,8-48-37-2,7.46200,7.17200,6.40200,8.49400,0.00000,-0.26200
20-48-2-8,8-48-37-2,7.21500,7.23100,5.91500,8.37400,1.00000,0.15700
20-48-2-8,8-48-37-2,7.30300,7.11700,5.91200,8.57400,0.00000,-0.06600
20-48-2-8,8-48-37-2,7.36700,7.39300,5.85000,8.20000,1.00000,0.71000
20-48-2-8,8-48-37-2,7.34100,7.25000,6.00600,8.39400,1.00000,0.19100
20-48-2-8,8-48-37-2,7.52500,6.99700,6.35400,8.01900,1.00000,0.14900
20-48-2-8,8-48-37-2,7.02000,7.02800,6.25500,8.26600,0.00000,-0.47300
20-48-2-8,8-48-37-2,7.36200,7.29300,5.82200,8.53400,1.00000,0.29900
20-48-2-8,8-48-37-2,7.50300,6.95500,6.46600,8.56500,0.00000,-0.57300
20-48-2-8,8-48-37-2,7.41100,6.90900,6.23200,8.53400,0.00000,-0.44600
20-48-2-8,8-48-37-2,7.18200,6.78500,6.00000,8.18900,0.00000,-0.22200
20-48-2-8,8-48-37-2,7.63400,7.02300,6.42500,8.39100,0.00000,-0.15900
20-48-2-8,8-48-37-2,7.49200,6.76600,6.12400,7.96700,1.00000,0.16700
20-48-2-8,8-48-37-2,7.50300,7.17000,5.87300,8.26600,1.00000,0.53400
20-48-2-8,8-48-37-2,7.47200,7.31700,6.38000,8.54500,0.00000,-0.13600
20-48-2-8,8-48-37-2,7.01900,7.17100,6.10900,8.55500,0.00000,-0.47400
20-48-2-8,8-48-37-2,7.48400,7.03300,6.13600,8.61400,0.00000,-0.23300
20-48-2-8,8-48-37-2,7.31700,6.94700,6.39100,8.32400,0.00000,-0.45100
20-48-2-8,8-48-37-2,7.18600,7.20900,6.00500,8.33200,1.00000,0.05800
20-48-2-8,8-48-37-2,7.36100,6.84800,6.19200,8.08800,0.00000,-0.07100
20-48-2-8,8-48-37-2,7.35700,6.93100,6.16500,8.17600,0.00000,-0.05300
20-48-2-8,8-48-37-2,7.14300,6.86800,6.04800,8.34200,0.00000,-0.37900
20-48-2-8,8-48-37-2,7.22400,6.79000,6.07300,8.21300,0.00000,-0.27200
20-48-2-8,8-48-37-2,7.33100,7.06700,6.40200,8.23200,0.00000,-0.23600
20-48-2-8,8-48-37-2,7.39000,7.07100,6.24100,8.38200,0.00000,-0.16200
20-48-2-8,8-48-37-2,7.60700,7.15000,6.36300,8.50800,0.00000,-0.11400
20-48-2-8,8-48-37-2,7.70900,7.25100,6.19000,8.80200,0.00000,-0.03200
20-48-2-8,8-48-37-2,7.54500,7.29500,6.04500,8.21400,1.00000,0.58100
20-48-2-8,8-48-37-2,7.50700,7.42100,6.02300,8.36900,1.00000,0.53600
20-48-2-8,8-48-37-2,7.25800,6.95000,6.33700,8.23800,0.00000,-0.36700
20-48-2-8,8-48-37-2,7.16200,7.35700,6.35900,8.71700,0.00000,-0.55700
20-48-2-8,8-48-37-2,7.36200,6.89200,6.23400,8.34200,0.00000,-0.32200
20-48-2-8,8-48-37-2,7.17000,6.84000,5.73400,8.25300,1.00000,0.02300
20-48-2-8,8-48-37-2,7.44500,6.75400,6.01200,8.12100,1.00000,0.06600
20-48-2-8,8-48-37-2,7.28900,6.84600,5.52500,8.40900,1.00000,0.20100
20-48-2-8,8-48-37-2,7.64200,7.13400,6.31200,8.13500,1.00000,0.32900
20-48-2-8,8-48-37-2,7.24700,7.24500,6.06700,8.32200,1.00000,0.10300
20-48-2-8,8-48-37-2,7.27400,6.96700,5.75800,8.39200,1.00000,0.09100
